ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,fecha_extraccion,codigo_tiempo
Barranquilla,Colombia,10.964,-74.796,25.5,25.6,85,16,Sunny,2026-04-08 00:10:35,113
Cartagena,Colombia,10.400,-75.514,32.4,31.5,87,26,Sunny,2026-03-26 02:34:35,113
Medellin,Colombia,6.291,-75.536,16.2,15.4,59,20,Clear,2026-03-16 15:46:35,113
Barranquilla,Colombia,10.964,-74.796,28.0,26.4,81,32,Sunny,2026-03-15 03:46:35,113
Cartagena,Colombia,10.400,-75.514,25.7,24.9,61,20,Sunny,2026-03-18 03:46:35,113
Cartagena,Colombia,10.400,-75.514,23.9,23.3,86,23,Light rain,2026-03-27 07:22:35,296
Medellin,Colombia,6.291,-75.536,26.5,26.5,65,13,Overcast,2026-03-20 16:58:35,122
Bogota,Colombia,4.600,-74.083,13.5,13.7,91,16,Light rain,2026-03-29 16:58:35,296
Cali,Colombia,3.437,-76.523,26.4,27.3,74,6,Overcast,2026-04-01 20:34:35,122
Barranquilla,Colombia,10.964,-74.796,24.4,23.4,69,24,Light rain,2026-04-06 22:58:35,296
Bogota,Colombia,4.600,-74.083,9.4,9.2,91,20,Light rain,2026-03-16 19:22:35,296
Bogota,Colombia,4.600,-74.083,9.9,10.4,86,12,Partly cloudy,2026-03-26 02:34:35,116
Bogota,Colombia,4.600,-74.083,15.3,16.3,76,5,Overcast,2026-04-05 10:58:35,122
Medellin,Colombia,6.291,-75.536,21.0,21.6,79,10,Light rain,2026-03-26 13:22:35,296
Barranquilla,Colombia,10.964,-74.796,26.2,26.3,80,15,Light rain,2026-03-16 01:22:35,296
Barranquilla,Colombia,10.964,-74.796,33.7,31.8,59,31,Overcast,2026-04-07 20:34:35,122
Barranquilla,Colombia,10.964,-74.796,32.1,31.2,61,21,Overcast,2026-03-16 12:10:35,122
Medellin,Colombia,6.291,-75.536,23.1,23.6,70,9,Clear,2026-03-29 20:34:35,113
Bogota,Colombia,4.600,-74.083,8.1,9.4,93,6,Light rain,2026-04-05 21:46:35,296
Bogota,Colombia,4.600,-74.083,12.3,11.6,77,22,Partly cloudy,2026-03-19 22:58:35,116
Cali,Colombia,3.437,-76.523,28.2,29.0,74,7,Patchy rain nearby,2026-03-24 07:22:35,176
Barranquilla,Colombia,10.964,-74.796,25.9,24.3,77,31,Light rain,2026-04-06 08:34:35,296
Barranquilla,Colombia,10.964,-74.796,30.9,30.1,85,25,Light rain,2026-03-24 07:22:35,296
Cali,Colombia,3.437,-76.523,29.5,29.1,67,17,Clear,2026-03-28 04:58:35,113
Medellin,Colombia,6.291,-75.536,21.6,21.0,73,21,Partly cloudy,2026-04-08 03:46:35,116
Cali,Colombia,3.437,-76.523,31.0,30.9,76,16,Partly cloudy,2026-03-23 16:58:35,116
Barranquilla,Colombia,10.964,-74.796,31.4,30.7,64,20,Patchy rain nearby,2026-04-08 14:34:35,176
Barranquilla,Colombia,10.964,-74.796,29.0,27.7,80,29,Sunny,2026-03-13 22:58:35,113
Cartagena,Colombia,10.400,-75.514,28.3,26.7,67,29,Sunny,2026-03-17 16:58:35,113
Cali,Colombia,3.437,-76.523,30.7,31.8,64,2,Partly cloudy,2026-04-09 22:58:35,116
Cali,Colombia,3.437,-76.523,24.4,24.9,59,7,Partly cloudy,2026-03-14 09:46:35,116
Cartagena,Colombia,10.400,-75.514,28.1,27.1,63,23,Sunny,2026-03-31 01:22:35,113
Cali,Colombia,3.437,-76.523,25.3,26.0,64,6,Sunny,2026-03-18 21:46:35,113
Cali,Colombia,3.437,-76.523,20.3,19.5,64,21,Sunny,2026-03-22 19:22:35,113
Barranquilla,Colombia,10.964,-74.796,26.7,25.7,79,26,Light rain,2026-03-17 20:34:35,296
Barranquilla,Colombia,10.964,-74.796,31.3,29.7,58,28,Light rain,2026-03-31 19:22:35,296
Cartagena,Colombia,10.400,-75.514,23.1,21.7,89,32,Overcast,2026-03-24 14:34:35,122
Cali,Colombia,3.437,-76.523,20.9,21.4,78,11,Clear,2026-04-08 21:46:35,113
Cartagena,Colombia,10.400,-75.514,30.1,29.6,83,22,Light rain,2026-04-07 06:10:35,296
Barranquilla,Colombia,10.964,-74.796,25.2,23.8,59,26,Sunny,2026-03-13 15:46:35,113
Cali,Colombia,3.437,-76.523,21.9,21.1,55,19,Partly cloudy,2026-04-02 00:10:35,116
Cartagena,Colombia,10.400,-75.514,24.6,24.3,89,21,Overcast,2026-03-21 10:58:35,122
Barranquilla,Colombia,10.964,-74.796,25.1,24.8,67,16,Light rain,2026-03-27 00:10:35,296
Bogota,Colombia,4.600,-74.083,12.8,11.8,71,24,Sunny,2026-03-16 01:22:35,113
Medellin,Colombia,6.291,-75.536,20.7,21.8,72,3,Overcast,2026-03-30 00:10:35,122
Barranquilla,Colombia,10.964,-74.796,29.8,27.8,65,33,Partly cloudy,2026-03-18 07:22:35,116
Barranquilla,Colombia,10.964,-74.796,33.0,32.7,65,16,Clear,2026-03-29 16:58:35,113
Cali,Colombia,3.437,-76.523,24.4,24.6,74,13,Sunny,2026-03-16 01:22:35,113
Bogota,Colombia,4.600,-74.083,15.0,15.1,79,15,Patchy rain nearby,2026-04-06 12:10:35,176
Medellin,Colombia,6.291,-75.536,20.0,20.5,77,10,Overcast,2026-03-15 14:34:35,122
Cali,Colombia,3.437,-76.523,27.4,27.3,63,14,Partly cloudy,2026-03-13 08:34:35,116
Bogota,Colombia,4.600,-74.083,16.8,17.7,93,10,Sunny,2026-04-04 20:34:35,113
Cartagena,Colombia,10.400,-75.514,30.6,28.8,72,32,Patchy rain nearby,2026-03-28 12:10:35,176
Bogota,Colombia,4.600,-74.083,18.7,19.5,78,8,Clear,2026-04-04 16:58:35,113
Medellin,Colombia,6.291,-75.536,25.2,26.2,75,5,Partly cloudy,2026-03-20 02:34:35,116
Cali,Colombia,3.437,-76.523,23.7,23.3,76,19,Light rain,2026-03-22 15:46:35,296
Barranquilla,Colombia,10.964,-74.796,34.6,32.7,66,32,Overcast,2026-03-26 20:34:35,122
Cartagena,Colombia,10.400,-75.514,32.8,31.9,62,21,Sunny,2026-04-05 00:10:35,113
Cartagena,Colombia,10.400,-75.514,31.0,31.1,79,15,Sunny,2026-04-04 06:10:35,113
Cartagena,Colombia,10.400,-75.514,24.8,24.4,77,19,Light rain,2026-03-19 08:34:35,296
Cartagena,Colombia,10.400,-75.514,35.0,33.7,74,28,Clear,2026-03-29 16:58:35,113
Barranquilla,Colombia,10.964,-74.796,30.6,30.6,86,17,Light rain,2026-03-23 02:34:35,296
Cartagena,Colombia,10.400,-75.514,23.7,22.7,82,26,Partly cloudy,2026-03-17 20:34:35,116
Cali,Colombia,3.437,-76.523,28.6,28.0,64,19,Patchy rain nearby,2026-03-30 18:10:35,176
Medellin,Colombia,6.291,-75.536,26.8,27.9,74,4,Overcast,2026-03-23 09:46:35,122
Medellin,Colombia,6.291,-75.536,25.3,24.6,61,19,Clear,2026-03-19 19:22:35,113
Barranquilla,Colombia,10.964,-74.796,33.9,32.7,79,28,Patchy rain nearby,2026-03-24 21:46:35,176
Bogota,Colombia,4.600,-74.083,9.3,9.4,93,18,Clear,2026-03-24 18:10:35,113
Bogota,Colombia,4.600,-74.083,13.5,14.0,72,9,Sunny,2026-03-15 18:10:35,113
Medellin,Colombia,6.291,-75.536,26.5,26.4,65,14,Clear,2026-04-03 22:58:35,113
Barranquilla,Colombia,10.964,-74.796,35.3,33.9,59,26,Partly cloudy,2026-04-07 13:22:35,116
Barranquilla,Colombia,10.964,-74.796,29.1,27.8,69,27,Sunny,2026-03-30 21:46:35,113
Barranquilla,Colombia,10.964,-74.796,31.1,30.4,72,21,Partly cloudy,2026-03-18 03:46:35,116
Barranquilla,Colombia,10.964,-74.796,29.3,29.2,79,17,Partly cloudy,2026-03-13 08:34:35,116
Bogota,Colombia,4.600,-74.083,17.7,18.5,70,6,Patchy rain nearby,2026-03-19 19:22:35,176
Barranquilla,Colombia,10.964,-74.796,28.4,28.3,84,18,Sunny,2026-03-15 21:46:35,113
Cali,Colombia,3.437,-76.523,30.5,29.9,55,17,Light rain,2026-04-04 20:34:35,296
Cartagena,Colombia,10.400,-75.514,28.6,28.2,62,16,Partly cloudy,2026-04-01 13:22:35,116
Cartagena,Colombia,10.400,-75.514,26.2,25.1,72,25,Clear,2026-03-21 14:34:35,113
Bogota,Colombia,4.600,-74.083,9.9,11.2,93,6,Clear,2026-03-21 21:46:35,113
Cali,Colombia,3.437,-76.523,23.6,24.8,71,2,Light rain,2026-03-28 22:58:35,296
Barranquilla,Colombia,10.964,-74.796,25.6,23.6,66,33,Clear,2026-03-15 07:22:35,113
Cali,Colombia,3.437,-76.523,31.2,31.5,59,9,Sunny,2026-03-22 01:22:35,113
Medellin,Colombia,6.291,-75.536,18.6,19.0,67,9,Overcast,2026-03-28 22:58:35,122
Bogota,Colombia,4.600,-74.083,10.9,10.7,72,16,Partly cloudy,2026-03-18 00:10:35,116
Medellin,Colombia,6.291,-75.536,22.9,22.6,72,17,Patchy rain nearby,2026-03-30 21:46:35,176
Cali,Colombia,3.437,-76.523,26.2,25.7,52,15,Clear,2026-03-28 12:10:35,113
Barranquilla,Colombia,10.964,-74.796,31.2,30.3,66,22,Overcast,2026-03-13 19:22:35,122
Cartagena,Colombia,10.400,-75.514,31.1,30.8,84,20,Partly cloudy,2026-03-24 10:58:35,116
Medellin,Colombia,6.291,-75.536,21.5,20.6,58,21,Sunny,2026-04-08 18:10:35,113
Cali,Colombia,3.437,-76.523,27.4,27.6,57,9,Patchy rain nearby,2026-04-08 18:10:35,176
Cartagena,Colombia,10.400,-75.514,32.1,30.8,88,31,Sunny,2026-03-20 02:34:35,113
Cartagena,Colombia,10.400,-75.514,27.3,26.3,73,25,Light rain,2026-04-02 03:46:35,296
Barranquilla,Colombia,10.964,-74.796,33.3,31.5,64,31,Sunny,2026-03-23 13:22:35,113
Medellin,Colombia,6.291,-75.536,20.7,20.0,72,21,Overcast,2026-04-04 06:10:35,122
Medellin,Colombia,6.291,-75.536,21.0,21.9,77,6,Patchy rain nearby,2026-03-22 19:22:35,176
Medellin,Colombia,6.291,-75.536,27.3,27.1,78,18,Overcast,2026-03-30 03:46:35,122
Cartagena,Colombia,10.400,-75.514,30.9,31.0,81,15,Light rain,2026-04-06 04:58:35,296
Cartagena,Colombia,10.400,-75.514,27.4,26.9,61,17,Patchy rain nearby,2026-04-05 21:46:35,176
Bogota,Colombia,4.600,-74.083,17.4,17.6,75,13,Overcast,2026-04-04 06:10:35,122
Medellin,Colombia,6.291,-75.536,27.8,27.6,62,14,Patchy rain nearby,2026-03-14 16:58:35,176
Medellin,Colombia,6.291,-75.536,23.3,23.0,66,16,Patchy rain nearby,2026-03-18 07:22:35,176
Barranquilla,Colombia,10.964,-74.796,31.7,31.6,77,16,Sunny,2026-03-28 08:34:35,113
Cali,Colombia,3.437,-76.523,30.7,30.6,54,12,Overcast,2026-03-27 18:10:35,122
Cartagena,Colombia,10.400,-75.514,26.2,25.8,79,20,Overcast,2026-03-17 09:46:35,122
Bogota,Colombia,4.600,-74.083,11.3,12.0,72,7,Clear,2026-04-06 19:22:35,113
Cali,Colombia,3.437,-76.523,28.1,29.1,58,2,Partly cloudy,2026-03-20 13:22:35,116
Cartagena,Colombia,10.400,-75.514,23.6,23.5,82,17,Patchy rain nearby,2026-04-11 03:46:35,176
Cartagena,Colombia,10.400,-75.514,34.7,32.9,63,31,Partly cloudy,2026-04-03 08:34:35,116
Bogota,Colombia,4.600,-74.083,12.2,11.6,81,22,Sunny,2026-03-25 08:34:35,113
Bogota,Colombia,4.600,-74.083,20.0,20.4,81,12,Patchy rain nearby,2026-04-06 15:46:35,176
Cartagena,Colombia,10.400,-75.514,34.0,33.2,62,20,Patchy rain nearby,2026-03-19 12:10:35,176
Cartagena,Colombia,10.400,-75.514,33.7,33.0,82,23,Partly cloudy,2026-03-28 19:22:35,116
Bogota,Colombia,4.600,-74.083,8.5,8.0,67,18,Sunny,2026-03-22 08:34:35,113
Barranquilla,Colombia,10.964,-74.796,32.4,31.9,79,21,Overcast,2026-04-05 14:34:35,122
Bogota,Colombia,4.600,-74.083,15.8,16.7,83,8,Light rain,2026-03-14 20:34:35,296
Barranquilla,Colombia,10.964,-74.796,30.1,29.0,84,28,Sunny,2026-03-16 22:58:35,113
Cali,Colombia,3.437,-76.523,21.8,22.1,54,8,Light rain,2026-03-17 02:34:35,296
Barranquilla,Colombia,10.964,-74.796,24.7,24.5,86,19,Patchy rain nearby,2026-04-10 02:34:35,176
Bogota,Colombia,4.600,-74.083,19.8,19.4,90,22,Patchy rain nearby,2026-03-14 09:46:35,176
Barranquilla,Colombia,10.964,-74.796,34.0,32.1,59,31,Patchy rain nearby,2026-03-16 08:34:35,176
Cartagena,Colombia,10.400,-75.514,31.3,29.9,68,28,Partly cloudy,2026-04-10 06:10:35,116
Barranquilla,Colombia,10.964,-74.796,30.3,29.2,76,26,Sunny,2026-03-20 09:46:35,113
Medellin,Colombia,6.291,-75.536,23.8,24.9,78,5,Overcast,2026-04-07 20:34:35,122
Bogota,Colombia,4.600,-74.083,15.1,16.2,84,6,Patchy rain nearby,2026-04-02 00:10:35,176
Medellin,Colombia,6.291,-75.536,25.8,26.3,84,12,Patchy rain nearby,2026-03-12 14:34:35,176
Cali,Colombia,3.437,-76.523,23.7,23.7,62,12,Light rain,2026-03-29 06:10:35,296
Cartagena,Colombia,10.400,-75.514,28.4,28.0,85,21,Partly cloudy,2026-04-05 03:46:35,116
Bogota,Colombia,4.600,-74.083,14.5,14.5,78,16,Patchy rain nearby,2026-04-10 16:58:35,176
Cali,Colombia,3.437,-76.523,21.2,22.0,56,3,Sunny,2026-04-11 03:46:35,113
Cali,Colombia,3.437,-76.523,22.4,23.2,54,3,Clear,2026-03-15 00:10:35,113
Cali,Colombia,3.437,-76.523,20.1,20.5,65,9,Sunny,2026-04-07 20:34:35,113
Medellin,Colombia,6.291,-75.536,18.3,17.6,58,19,Patchy rain nearby,2026-03-23 13:22:35,176
Cali,Colombia,3.437,-76.523,27.8,28.2,76,11,Light rain,2026-03-26 09:46:35,296
Cartagena,Colombia,10.400,-75.514,30.5,30.7,77,13,Partly cloudy,2026-03-30 10:58:35,116
Medellin,Colombia,6.291,-75.536,16.2,16.9,78,9,Light rain,2026-04-09 19:22:35,296
Bogota,Colombia,4.600,-74.083,10.0,9.8,67,15,Light rain,2026-03-29 02:34:35,296
Cali,Colombia,3.437,-76.523,27.7,26.8,59,21,Partly cloudy,2026-04-09 15:46:35,116
Cali,Colombia,3.437,-76.523,30.2,29.9,57,14,Sunny,2026-03-17 09:46:35,113
Cartagena,Colombia,10.400,-75.514,24.4,24.6,80,14,Clear,2026-04-02 18:10:35,113
Bogota,Colombia,4.600,-74.083,10.7,11.1,69,10,Clear,2026-04-10 02:34:35,113
Bogota,Colombia,4.600,-74.083,11.4,11.2,85,19,Sunny,2026-03-21 07:22:35,113
Cali,Colombia,3.437,-76.523,29.2,29.3,64,12,Patchy rain nearby,2026-03-19 22:58:35,176
Bogota,Colombia,4.600,-74.083,12.5,11.5,69,24,Sunny,2026-03-17 13:22:35,113
Medellin,Colombia,6.291,-75.536,23.9,24.0,81,15,Sunny,2026-04-05 10:58:35,113
Medellin,Colombia,6.291,-75.536,26.6,26.7,69,13,Sunny,2026-03-17 06:10:35,113
Medellin,Colombia,6.291,-75.536,25.6,25.2,73,19,Overcast,2026-03-31 04:58:35,122
Cali,Colombia,3.437,-76.523,23.4,23.8,79,12,Patchy rain nearby,2026-03-27 14:34:35,176
Medellin,Colombia,6.291,-75.536,19.9,19.9,73,15,Light rain,2026-03-22 01:22:35,296
Medellin,Colombia,6.291,-75.536,20.8,19.9,57,20,Light rain,2026-03-31 12:10:35,296
Medellin,Colombia,6.291,-75.536,20.3,20.9,67,7,Patchy rain nearby,2026-03-18 00:10:35,176
Bogota,Colombia,4.600,-74.083,11.6,11.0,71,20,Sunny,2026-03-28 15:46:35,113
Barranquilla,Colombia,10.964,-74.796,30.5,29.3,62,24,Light rain,2026-03-22 12:10:35,296
Medellin,Colombia,6.291,-75.536,19.5,19.9,76,11,Patchy rain nearby,2026-03-14 13:22:35,176
Cartagena,Colombia,10.400,-75.514,23.9,23.8,80,17,Light rain,2026-03-19 04:58:35,296
Cali,Colombia,3.437,-76.523,20.6,20.5,58,13,Light rain,2026-03-20 09:46:35,296
Cartagena,Colombia,10.400,-75.514,27.7,27.0,76,22,Partly cloudy,2026-03-16 15:46:35,116
Cartagena,Colombia,10.400,-75.514,32.6,32.5,61,13,Overcast,2026-03-15 10:58:35,122
Cali,Colombia,3.437,-76.523,31.5,31.0,64,18,Light rain,2026-03-18 14:34:35,296
Cartagena,Colombia,10.400,-75.514,35.0,34.2,67,21,Patchy rain nearby,2026-03-25 15:46:35,176
Cali,Colombia,3.437,-76.523,29.8,29.6,78,18,Overcast,2026-03-25 04:58:35,122
Cartagena,Colombia,10.400,-75.514,33.2,32.0,70,26,Patchy rain nearby,2026-04-01 16:58:35,176
Cartagena,Colombia,10.400,-75.514,28.9,27.2,73,32,Patchy rain nearby,2026-03-22 22:58:35,176
Bogota,Colombia,4.600,-74.083,13.6,14.7,87,6,Overcast,2026-04-02 14:34:35,122
Medellin,Colombia,6.291,-75.536,18.5,18.7,79,14,Sunny,2026-03-24 00:10:35,113
Bogota,Colombia,4.600,-74.083,14.3,15.3,93,9,Light rain,2026-03-22 12:10:35,296
Barranquilla,Colombia,10.964,-74.796,25.7,24.0,60,29,Overcast,2026-03-28 22:58:35,122
Barranquilla,Colombia,10.964,-74.796,29.2,27.6,57,27,Clear,2026-03-19 15:46:35,113
Barranquilla,Colombia,10.964,-74.796,32.4,31.9,60,17,Overcast,2026-03-24 18:10:35,122
Cartagena,Colombia,10.400,-75.514,31.7,30.1,76,31,Light rain,2026-03-26 13:22:35,296
Bogota,Colombia,4.600,-74.083,12.8,13.9,86,6,Light rain,2026-04-03 19:22:35,296
Medellin,Colombia,6.291,-75.536,24.1,23.7,56,15,Overcast,2026-04-03 12:10:35,122
Bogota,Colombia,4.600,-74.083,13.6,14.8,91,6,Sunny,2026-03-20 13:22:35,113
Barranquilla,Colombia,10.964,-74.796,32.8,31.9,60,21,Overcast,2026-03-28 01:22:35,122
Cali,Colombia,3.437,-76.523,22.4,22.5,65,12,Partly cloudy,2026-03-21 14:34:35,116
Medellin,Colombia,6.291,-75.536,19.9,19.3,55,17,Clear,2026-03-30 07:22:35,113
Cali,Colombia,3.437,-76.523,20.5,20.6,63,12,Partly cloudy,2026-04-02 14:34:35,116
Cali,Colombia,3.437,-76.523,26.1,26.6,53,6,Clear,2026-03-15 18:10:35,113
Cartagena,Colombia,10.400,-75.514,25.0,25.0,68,14,Partly cloudy,2026-03-17 02:34:35,116
Cali,Colombia,3.437,-76.523,24.9,25.6,58,5,Sunny,2026-04-03 19:22:35,113
Cartagena,Colombia,10.400,-75.514,31.7,30.4,88,31,Patchy rain nearby,2026-03-13 15:46:35,176
Medellin,Colombia,6.291,-75.536,26.8,27.4,74,9,Patchy rain nearby,2026-03-20 06:10:35,176
Barranquilla,Colombia,10.964,-74.796,32.8,31.3,73,30,Clear,2026-04-03 22:58:35,113
Medellin,Colombia,6.291,-75.536,17.0,18.2,74,3,Light rain,2026-04-03 01:22:35,296
Cartagena,Colombia,10.400,-75.514,28.7,28.1,68,20,Overcast,2026-03-21 00:10:35,122
Barranquilla,Colombia,10.964,-74.796,29.9,28.8,58,23,Patchy rain nearby,2026-03-14 09:46:35,176
Barranquilla,Colombia,10.964,-74.796,33.3,31.3,57,31,Overcast,2026-04-01 13:22:35,122
Cartagena,Colombia,10.400,-75.514,32.3,31.0,85,30,Partly cloudy,2026-03-12 14:34:35,116
Barranquilla,Colombia,10.964,-74.796,35.9,35.3,80,22,Sunny,2026-04-09 04:58:35,113
Bogota,Colombia,4.600,-74.083,15.2,15.1,89,19,Sunny,2026-03-13 19:22:35,113
Cartagena,Colombia,10.400,-75.514,26.8,25.8,81,26,Light rain,2026-04-03 15:46:35,296
Medellin,Colombia,6.291,-75.536,16.8,16.3,57,16,Overcast,2026-04-03 15:46:35,122
Cartagena,Colombia,10.400,-75.514,33.2,32.4,83,25,Clear,2026-04-02 14:34:35,113
Medellin,Colombia,6.291,-75.536,23.4,24.6,74,3,Light rain,2026-03-28 04:58:35,296
Medellin,Colombia,6.291,-75.536,27.9,27.5,71,18,Partly cloudy,2026-03-24 10:58:35,116
Bogota,Colombia,4.600,-74.083,11.3,11.8,84,12,Overcast,2026-03-14 13:22:35,122
Medellin,Colombia,6.291,-75.536,22.8,22.4,60,16,Sunny,2026-04-09 04:58:35,113
Medellin,Colombia,6.291,-75.536,26.3,26.7,66,9,Light rain,2026-03-17 02:34:35,296
Cali,Colombia,3.437,-76.523,30.6,30.7,77,14,Patchy rain nearby,2026-04-03 08:34:35,176
Bogota,Colombia,4.600,-74.083,12.9,12.3,79,22,Partly cloudy,2026-03-21 00:10:35,116
Bogota,Colombia,4.600,-74.083,16.8,16.9,70,13,Light rain,2026-03-27 18:10:35,296
Barranquilla,Colombia,10.964,-74.796,24.2,22.2,63,33,Patchy rain nearby,2026-03-30 14:34:35,176
Barranquilla,Colombia,10.964,-74.796,28.6,27.1,62,27,Light rain,2026-03-21 07:22:35,296
Medellin,Colombia,6.291,-75.536,27.3,28.2,84,8,Patchy rain nearby,2026-03-18 21:46:35,176
Medellin,Colombia,6.291,-75.536,21.9,21.6,77,18,Patchy rain nearby,2026-04-01 09:46:35,176
Bogota,Colombia,4.600,-74.083,11.4,11.8,73,11,Sunny,2026-03-31 08:34:35,113
Barranquilla,Colombia,10.964,-74.796,31.2,29.3,63,32,Clear,2026-04-06 12:10:35,113
Cali,Colombia,3.437,-76.523,22.1,21.5,68,20,Overcast,2026-03-17 20:34:35,122
Medellin,Colombia,6.291,-75.536,18.6,19.3,81,9,Clear,2026-03-24 03:46:35,113
Medellin,Colombia,6.291,-75.536,16.5,15.5,55,21,Overcast,2026-03-30 18:10:35,122
Barranquilla,Colombia,10.964,-74.796,25.2,24.7,76,20,Light rain,2026-04-09 22:58:35,296
Medellin,Colombia,6.291,-75.536,24.3,23.8,74,20,Light rain,2026-03-16 22:58:35,296
Medellin,Colombia,6.291,-75.536,22.9,23.8,84,8,Light rain,2026-03-19 08:34:35,296
Medellin,Colombia,6.291,-75.536,21.3,21.4,68,13,Clear,2026-04-03 04:58:35,113
Cartagena,Colombia,10.400,-75.514,24.3,24.3,78,16,Patchy rain nearby,2026-04-06 19:22:35,176
Cartagena,Colombia,10.400,-75.514,27.8,26.4,73,29,Light rain,2026-04-02 10:58:35,296
Medellin,Colombia,6.291,-75.536,20.3,21.0,65,6,Clear,2026-04-04 20:34:35,113
Cartagena,Colombia,10.400,-75.514,25.1,25.1,86,17,Partly cloudy,2026-03-22 08:34:35,116
Barranquilla,Colombia,10.964,-74.796,34.2,32.9,76,28,Clear,2026-03-19 01:22:35,113
Bogota,Colombia,4.600,-74.083,11.9,12.4,78,11,Patchy rain nearby,2026-04-02 07:22:35,176
Cali,Colombia,3.437,-76.523,27.8,29.0,71,2,Overcast,2026-03-28 01:22:35,122
Cali,Colombia,3.437,-76.523,31.8,31.1,64,20,Partly cloudy,2026-03-28 15:46:35,116
Cali,Colombia,3.437,-76.523,29.2,29.2,70,14,Overcast,2026-03-29 09:46:35,122
Barranquilla,Colombia,10.964,-74.796,25.0,24.5,59,17,Patchy rain nearby,2026-04-05 03:46:35,176
Barranquilla,Colombia,10.964,-74.796,25.6,25.0,81,22,Light rain,2026-04-07 09:46:35,296
Cali,Colombia,3.437,-76.523,24.9,25.0,61,11,Light rain,2026-04-09 08:34:35,296
Cali,Colombia,3.437,-76.523,22.7,23.6,59,3,Sunny,2026-04-03 04:58:35,113
Cartagena,Colombia,10.400,-75.514,26.8,26.0,81,24,Sunny,2026-03-13 04:58:35,113
Bogota,Colombia,4.600,-74.083,11.8,12.3,84,12,Light rain,2026-03-15 14:34:35,296
Cartagena,Colombia,10.400,-75.514,24.3,22.3,61,32,Light rain,2026-03-24 21:46:35,296
Bogota,Colombia,4.600,-74.083,19.4,20.2,91,10,Sunny,2026-03-17 02:34:35,113
Bogota,Colombia,4.600,-74.083,19.7,21.0,90,5,Light rain,2026-03-16 15:46:35,296
Cartagena,Colombia,10.400,-75.514,30.2,28.7,87,32,Clear,2026-03-13 22:58:35,113
Cali,Colombia,3.437,-76.523,24.3,25.4,77,4,Sunny,2026-03-30 07:22:35,113
Cartagena,Colombia,10.400,-75.514,28.0,26.5,76,30,Patchy rain nearby,2026-03-18 07:22:35,176
Barranquilla,Colombia,10.964,-74.796,34.2,32.6,80,32,Partly cloudy,2026-03-26 06:10:35,116
Medellin,Colombia,6.291,-75.536,20.4,19.7,76,22,Sunny,2026-04-05 21:46:35,113
Barranquilla,Colombia,10.964,-74.796,28.3,27.0,58,25,Clear,2026-03-25 19:22:35,113
Cali,Colombia,3.437,-76.523,29.2,28.3,58,21,Light rain,2026-03-21 03:46:35,296
Barranquilla,Colombia,10.964,-74.796,25.4,23.9,80,31,Overcast,2026-03-22 19:22:35,122
Bogota,Colombia,4.600,-74.083,11.1,10.8,72,17,Sunny,2026-03-31 01:22:35,113
Barranquilla,Colombia,10.964,-74.796,33.4,32.1,67,26,Overcast,2026-04-09 08:34:35,122
